nupdates,average_reward,vf_loss,fps,eplenmean,time_elapsed,pg_loss,total_timesteps,agent,entropy
244,[2169.2184375 2564.05875   3035.1603125],2.30E-06,5,128,23775.51024,0.012084073,124928,[0 1 2],-10.228866
248,[2169.21171875 2564.02671875 3034.99460937],2.05E-06,5,128,24128.57902,0.008088815,126976,[0 1 2],-10.145063
252,[2169.22929687 2564.05359375 3035.01039063],1.72E-06,5,128,24480.40072,0.013571166,129024,[0 1 2],-10.280033
256,[2169.22234375 2564.00359375 3034.93328125],1.56E-06,5,128,24831.87532,0.020596437,131072,[0 1 2],-10.304525
260,[2169.21101563 2564.01820313 3034.95367188],1.60E-06,5,128,25185.63892,0.019787578,133120,[0 1 2],-10.31555
264,[2169.20617188 2563.98125    3034.85210938],1.63E-06,5,128,25548.99421,0.015626375,135168,[0 1 2],-10.492184
268,[2169.24242188 2563.94648438 3034.92125   ],1.67E-06,5,128,25907.42384,0.024418466,137216,[0 1 2],-10.566644
272,[2169.221875   2563.88148438 3034.80351562],1.67E-06,5,128,26272.87035,0.009816884,139264,[0 1 2],-10.323137
276,[2169.19820312 2563.94210938 3034.85117188],1.29E-06,5,128,26624.89593,0.012753518,141312,[0 1 2],-10.3491745
280,[2169.10984375 2563.934375   3034.8796875 ],1.23E-06,0,128,49001.68552,0.022635609,143360,[0 1 2],-10.231133
